,"Consumer Price Index for All Urban Consumers (CPI-U): U.S. city average, by expenditure category, December 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[1982-84=100, unless otherwise noted]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indent Level,Expenditure category,"Relative
importance
Nov.
2014",Unadjusted indexes,,,,,,,,,,,,,Seasonally adjusted indexes,,,,,,,,,,,,,Unadjusted percent change,,,,Seasonally adjusted percent change,,,One Month,,,,Twelve Month,,,
,,,"Dec.
2013","Jan.
2014","Feb.
2014","Mar.
2014","Apr.
2014","May
2014","Jun.
2014","Jul.
2014","Aug.
2014","Sep.
2014","Oct.
2014","Nov.
2014","Dec.
2014","Dec.
2013","Jan.
2014","Feb.
2014","Mar.
2014","Apr.
2014","May
2014","Jun.
2014","Jul.
2014","Aug.
2014","Sep.
2014","Oct.
2014","Nov.
2014","Dec.
2014","Dec.
2013-
Dec.
2014","Sep.
2014-
Oct.
2014","Oct.
2014-
Nov.
2014","Nov.
2014-
Dec.
2014","Sep.
2014-
Oct.
2014","Oct.
2014-
Nov.
2014","Nov.
2014-
Dec.
2014","Seasonally adjusted effect on All Items
Nov. 2014-
Dec. 2014(1)","Standard error, median price change(2)",Largest (L) or Smallest (S) seasonally adjusted change since:(3),,"Unadjusted effect on All Items
Dec. 2013-
Dec. 2014(1)","Standard error, median price change(2)",Largest (L) or Smallest (S) unadjusted change since:(3),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,Percent change,,,Date,Percent change
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,All items,100.000,233.049,233.916,234.781,236.293,237.072,237.900,238.343,238.250,237.852,238.031,237.433,236.151,234.812,234.594,234.933,235.169,235.640,236.254,237.083,237.693,237.909,237.428,237.633,237.642,237.032,236.149,0.8,-0.3,-0.5,-0.6,0.0,-0.3,-0.4,,0.03,S-Dec. 2008,-0.8,,0.08,S-Oct. 2009,-0.2
1,Food,14.131,237.869,238.872,239.608,240.398,241.337,242.344,242.326,243.034,243.811,244.630,245.166,245.192,245.976,238.160,238.368,239.322,240.299,241.187,242.331,242.458,243.331,243.904,244.672,245.034,245.580,246.221,3.4,0.2,0.0,0.3,0.1,0.2,0.3,0.037,0.07,L-Sep. 2014,0.3,0.473,0.11,L-Feb. 2012,3.9
2,Food at home,8.348,233.802,235.356,236.114,236.973,238.103,239.504,239.147,239.820,240.723,241.578,242.121,241.576,242.457,234.283,234.515,235.636,236.808,237.853,239.483,239.368,240.314,240.879,241.649,241.900,242.223,242.865,3.7,0.2,-0.2,0.4,0.1,0.1,0.3,0.022,0.12,L-Sep. 2014,0.3,0.303,0.17,L-Feb. 2012,4.5
3,Cereals and bakery products,1.130,269.267,271.151,270.583,270.660,271.005,271.362,270.860,271.993,272.108,270.660,271.313,270.344,270.635,270.123,271.425,270.437,270.947,270.867,270.655,270.233,271.390,271.885,270.798,271.495,271.011,271.496,0.5,0.2,-0.4,0.1,0.3,-0.2,0.2,0.002,0.30,L-Oct. 2014,0.3,0.006,0.38,L-Feb. 2014,0.5
4,Cereals and cereal products,0.370,231.100,233.757,231.630,233.640,232.384,233.582,233.879,234.987,234.306,231.462,232.819,231.531,230.374,231.746,234.235,231.569,234.571,232.703,232.416,232.866,233.372,233.519,231.900,234.304,231.926,231.019,-0.3,0.6,-0.6,-0.5,1.0,-1.0,-0.4,-0.001,0.50,L-Oct. 2014,1.0,-0.001,0.61,S-Jun. 2014,-0.4
5,Flour and prepared flour mixes,0.048,242.265,252.615,254.602,254.505,250.083,251.833,254.235,253.529,254.260,249.143,245.931,239.168,237.671,248.950,250.478,254.439,254.055,249.956,249.207,250.791,249.311,250.757,247.782,247.872,248.244,244.229,-1.9,-1.3,-2.7,-0.6,0.0,0.2,-1.6,-0.001,0.71,S-Apr. 2014,-1.6,-0.001,0.99,S-May 2014,-2.7
