,"Consumer Price Index for All Urban Consumers (CPI-U): U.S. city average, by expenditure category, December 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[1982-84=100, unless otherwise noted]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indent Level,Expenditure category,"Relative
importance
Nov.
2012",Unadjusted indexes,,,,,,,,,,,,,Seasonally adjusted indexes,,,,,,,,,,,,,Unadjusted percent change,,,,Seasonally adjusted percent change,,,One Month,,,,Twelve Month,,,
,,,"Dec.
2011","Jan.
2012","Feb.
2012","Mar.
2012","Apr.
2012","May
2012","Jun.
2012","Jul.
2012","Aug.
2012","Sep.
2012","Oct.
2012","Nov.
2012","Dec.
2012","Dec.
2011","Jan.
2012","Feb.
2012","Mar.
2012","Apr.
2012","May
2012","Jun.
2012","Jul.
2012","Aug.
2012","Sep.
2012","Oct.
2012","Nov.
2012","Dec.
2012","Dec.
2011-
Dec.
2012","Sep.
2012-
Oct.
2012","Oct.
2012-
Nov.
2012","Nov.
2012-
Dec.
2012","Sep.
2012-
Oct.
2012","Oct.
2012-
Nov.
2012","Nov.
2012-
Dec.
2012","Seasonally adjusted effect on All Items
Nov. 2012-
Dec. 2012(1)","Standard error, median price change(2)",Largest (L) or Smallest (S) seasonally adjusted change since:(3),,"Unadjusted effect on All Items
Dec. 2011-
Dec. 2012(1)","Standard error, median price change(2)",Largest (L) or Smallest (S) unadjusted change since:(3),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,Percent change,,,Date,Percent change
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,All items,100.000,225.672,226.665,227.663,229.392,230.085,229.815,229.478,229.104,230.379,231.407,231.317,230.221,229.601,227.033,227.505,228.433,229.098,229.177,228.527,228.618,228.723,230.102,231.414,231.751,231.025,230.979,1.7,0.0,-0.5,-0.3,0.1,-0.3,0.0,,0.03,L-Oct. 2012,0.1,,0.07,S-Aug. 2012,1.7
1,Food,14.243,231.301,232.666,232.486,232.792,233.234,233.339,233.563,233.630,234.156,234.298,234.878,234.896,235.390,231.778,232.154,232.245,232.617,233.115,233.189,233.598,233.735,234.213,234.356,234.916,235.435,235.876,1.8,0.2,0.0,0.2,0.2,0.2,0.2,0.027,0.08,–,–,0.253,0.14,–,–
2,Food at home,8.553,229.982,231.694,231.180,231.383,231.711,231.518,231.515,231.306,231.708,231.615,232.456,232.295,232.901,230.805,230.851,230.784,231.095,231.514,231.271,231.573,231.477,231.801,231.709,232.517,233.183,233.702,1.3,0.4,-0.1,0.3,0.3,0.3,0.2,0.019,0.14,S-Sep. 2012,0.0,0.110,0.20,–,–
3,Cereals and bakery products,1.226,265.997,266.677,267.821,267.101,268.014,268.653,267.321,268.449,267.794,266.655,267.828,267.817,268.057,267.370,266.995,267.562,266.957,268.089,267.719,266.599,267.441,267.473,267.077,268.029,268.815,269.442,0.8,0.4,0.0,0.1,0.4,0.3,0.2,0.003,0.35,S-Sep. 2012,-0.1,0.010,0.43,S-Dec. 2010,-0.2
