,"Consumer Price Index for All Urban Consumers (CPI-U): U.S. city average, by expenditure category, December 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[1982-84=100, unless otherwise noted]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indent Level,Expenditure category,"Relative
importance
Nov.
2016",Unadjusted indexes,,,,,,,,,,,,,Seasonally adjusted indexes,,,,,,,,,,,,,Unadjusted percent change,,,,Seasonally adjusted percent change,,,One Month,,,,Twelve Month,,,
,,,"Dec.
2015","Jan.
2016","Feb.
2016","Mar.
2016","Apr.
2016","May
2016","Jun.
2016","Jul.
2016","Aug.
2016","Sep.
2016","Oct.
2016","Nov.
2016","Dec.
2016","Dec.
2015","Jan.
2016","Feb.
2016","Mar.
2016","Apr.
2016","May
2016","Jun.
2016","Jul.
2016","Aug.
2016","Sep.
2016","Oct.
2016","Nov.
2016","Dec.
2016","Dec.
2015-
Dec.
2016","Sep.
2016-
Oct.
2016","Oct.
2016-
Nov.
2016","Nov.
2016-
Dec.
2016","Sep.
2016-
Oct.
2016","Oct.
2016-
Nov.
2016","Nov.
2016-
Dec.
2016","Seasonally adjusted effect on All Items
Nov. 2016-
Dec. 2016(1)","Standard error, median price change(2)",Largest (L) or Smallest (S) seasonally adjusted change since:(3),,"Unadjusted effect on All Items
Dec. 2015-
Dec. 2016(1)","Standard error, median price change(2)",Largest (L) or Smallest (S) unadjusted change since:(3),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,Percent change,,,Date,Percent change
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,All items,100.000,236.525,236.916,237.111,238.132,239.261,240.229,241.018,240.628,240.849,241.428,241.729,241.353,241.432,238.041,238.107,237.707,237.920,238.890,239.403,239.907,239.810,240.301,241.002,241.863,242.348,243.032,2.1,0.1,-0.2,0.0,0.4,0.2,0.3,,0.04,L-Oct. 2016,0.4,,0.08,L-Jun. 2014,2.1
1,Food,13.709,247.903,248.631,248.800,247.978,248.413,247.860,247.482,247.554,247.719,247.917,248.073,247.435,247.313,248.078,248.108,248.510,248.023,248.468,247.977,247.790,247.766,247.763,247.801,247.715,247.624,247.508,-0.2,0.1,-0.3,0.0,0.0,0.0,0.0,-0.006,0.08,–,–,-0.033,0.13,L-Aug. 2016,0.0
2,Food at home,7.917,241.375,242.017,242.062,240.329,240.635,239.354,238.430,238.207,238.088,238.120,238.145,236.930,236.464,241.666,241.151,241.581,240.404,240.727,239.548,238.940,238.559,238.162,237.928,237.552,237.244,236.787,-2.0,0.0,-0.5,-0.2,-0.2,-0.1,-0.2,-0.015,0.12,S-Oct. 2016,-0.2,-0.167,0.18,L-Aug. 2016,-1.9
3,Cereals and bakery products,1.071,273.245,274.580,274.801,273.162,273.924,273.074,273.379,273.418,273.104,272.089,272.502,271.896,271.374,274.728,274.095,274.669,272.984,273.675,272.548,272.950,272.448,272.523,272.763,272.766,273.082,272.847,-0.7,0.2,-0.2,-0.2,0.0,0.1,-0.1,-0.001,0.27,S-Jul. 2016,-0.2,-0.008,0.40,–,–
4,Cereals and cereal products,0.357,232.176,231.964,233.850,231.364,231.994,232.199,232.163,233.590,231.150,229.994,229.772,228.222,228.468,233.874,231.589,234.335,231.718,231.802,230.968,230.521,231.830,230.216,231.753,230.286,229.791,230.139,-1.6,-0.1,-0.7,0.1,-0.6,-0.2,0.2,0.001,0.44,L-Sep. 2016,0.7,-0.006,0.67,S-Oct. 2016,-2.1
5,Flour and prepared flour mixes,0.042,233.272,245.800,244.830,239.019,243.974,246.207,242.653,246.498,243.309,242.759,236.596,230.431,228.792,242.016,243.403,242.747,238.031,243.182,242.968,238.299,242.638,239.666,242.125,239.617,240.940,237.368,-1.9,-2.5,-2.6,-0.7,-1.0,0.6,-1.5,-0.001,0.64,S-Jun. 2016,-1.9,-0.001,0.84,S-Oct. 2016,-2.0
5,Breakfast cereal(4),0.185,231.211,226.156,229.452,227.129,226.731,226.857,227.774,229.139,225.685,226.812,226.415,226.983,227.769,231.211,226.156,229.452,227.129,226.731,226.857,227.774,229.139,225.685,226.812,226.415,226.983,227.769,-1.5,-0.2,0.3,0.3,-0.2,0.3,0.3,0.001,0.71,–,–,-0.003,1.05,S-Oct. 2016,-2.4
5,"Rice, pasta, cornmeal(4)",0.130,238.446,241.181,241.972,240.274,241.017,240.679,240.392,241.154,240.393,235.661,237.632,234.443,234.518,238.446,241.181,241.972,240.274,241.017,240.679,240.392,241.154,240.393,235.661,237.632,234.443,234.518,-1.6,0.8,-1.3,0.0,0.8,-1.3,0.0,0.000,0.67,L-Oct. 2016,0.8,-0.002,1.01,L-Sep. 2016,-1.2
6,Rice(4)(5)(6),,164.284,165.145,164.573,164.644,162.623,163.670,164.593,163.389,162.944,158.991,163.348,162.335,160.705,164.284,165.145,164.573,164.644,162.623,163.670,164.593,163.389,162.944,158.991,163.348,162.335,160.705,-2.2,2.7,-0.6,-1.0,2.7,-0.6,-1.0,,0.83,S-Sep. 2016,-2.4,,1.28,L-Oct. 2016,-2.1
5,Bakery products(4),0.714,296.472,298.797,297.931,296.865,297.703,296.178,296.700,295.836,296.908,295.999,296.820,296.837,295.821,296.472,298.797,297.931,296.865,297.703,296.178,296.700,295.836,296.908,295.999,296.820,296.837,295.821,-0.2,0.3,0.0,-0.3,0.3,0.0,-0.3,-0.002,0.31,S-Sep. 2016,-0.3,-0.002,0.49,–,–
6,Bread(4)(5),0.213,179.580,179.602,179.573,178.446,177.728,177.656,178.541,178.547,178.467,177.627,178.466,178.731,178.046,179.580,179.602,179.573,178.446,177.728,177.656,178.541,178.547,178.467,177.627,178.466,178.731,178.046,-0.9,0.5,0.1,-0.4,0.5,0.1,-0.4,-0.001,0.57,S-Sep. 2016,-0.5,-0.002,0.84,S-Sep. 2016,-1.1
7,White bread(4)(6),,325.728,325.929,324.373,322.573,320.497,322.685,323.297,323.916,321.117,320.987,321.879,324.317,324.400,325.728,325.929,324.373,322.573,320.497,322.685,323.297,323.916,321.117,320.987,321.879,324.317,324.400,-0.4,0.3,0.8,0.0,0.3,0.8,0.0,,0.81,S-Sep. 2016,0.0,,1.17,S-Oct. 2016,-0.7
7,Bread other than white(4)(6),,346.288,346.033,348.012,345.715,344.622,341.992,345.683,344.719,348.761,344.032,346.353,345.815,342.771,346.288,346.033,348.012,345.715,344.622,341.992,345.683,344.719,348.761,344.032,346.353,345.815,342.771,-1.0,0.7,-0.2,-0.9,0.7,-0.2,-0.9,,0.88,S-Sep. 2016,-1.4,,1.26,L-Oct. 2016,-0.1
6,"Fresh biscuits, rolls, muffins(5)",0.105,177.165,178.295,176.677,176.468,175.933,174.469,174.759,174.306,175.219,176.423,175.508,175.709,176.989,176.912,177.402,175.185,175.504,176.845,175.332,176.941,175.036,175.720,176.723,174.083,175.294,176.737,-0.1,-0.5,0.1,0.7,-1.5,0.7,0.8,0.001,0.69,L-Jun. 2016,0.9,0.000,1.13,L-Sep. 2016,0.1
6,"Cakes, cupcakes, and cookies",0.174,281.614,283.762,281.606,282.531,282.389,280.693,279.182,278.926,279.188,281.652,281.936,283.871,283.239,280.358,283.360,281.908,282.458,282.907,282.558,280.466,279.390,280.284,282.486,280.645,280.722,281.976,0.6,0.1,0.7,-0.2,-0.7,0.0,0.4,0.001,0.64,L-Sep. 2016,0.8,0.001,1.20,S-Oct. 2016,-0.1
7,Cookies(6),,268.512,270.189,268.799,268.320,271.603,269.209,266.711,264.155,264.874,267.479,269.544,269.528,269.367,266.742,269.243,268.517,267.723,271.973,271.796,269.337,264.607,266.537,268.750,268.780,265.080,267.593,0.3,0.8,0.0,-0.1,0.0,-1.4,0.9,,0.97,L-Apr. 2016,1.6,,1.51,–,–
7,Fresh cakes and cupcakes(4)(6),,298.337,300.418,298.258,299.964,296.097,294.787,294.316,299.114,299.266,301.238,297.927,303.252,301.403,298.337,300.418,298.258,299.964,296.097,294.787,294.316,299.114,299.266,301.238,297.927,303.252,301.403,1.0,-1.1,1.8,-0.6,-1.1,1.8,-0.6,,0.86,S-Oct. 2016,-1.1,,1.71,S-Oct. 2016,-0.2
6,Other bakery products,0.222,261.739,265.977,266.267,264.290,268.179,266.202,267.339,265.370,267.707,263.646,265.245,263.365,260.987,266.648,266.105,266.245,264.314,267.177,263.836,266.035,264.344,265.064,262.719,264.848,267.991,265.882,-0.3,0.6,-0.7,-0.9,0.8,1.2,-0.8,-0.002,0.66,S-Sep. 2016,-0.9,-0.001,1.03,S-Oct. 2016,-1.1
7,"Fresh sweetrolls, coffeecakes, doughnuts(4)(6)",,289.689,292.994,295.277,293.093,292.480,291.397,294.850,295.420,291.551,296.988,289.044,292.347,294.035,289.689,292.994,295.277,293.093,292.480,291.397,294.850,295.420,291.551,296.988,289.044,292.347,294.035,1.5,-2.7,1.1,0.6,-2.7,1.1,0.6,,0.84,S-Oct. 2016,-2.7,,1.50,L-Feb. 2016,3.6
